"","stem.tag","sp.x.x","dbh.2","type","gx","gy","dbh","agb","basal.area","agb.1","agb.2","npp"
"155",161185,"querru",39.5,"deciduous",310.20999,123.84,36.6,1.12528399,1052.08796376069,0.834105601412655,1.00084840673777,0.166742805325118
"156",161470,"querru",24.12,"deciduous",302.715,222.189,23.4,0.354321577,430.052618349907,0.286369751608768,0.307881078273167,0.0215113266643989
"157",161490,"querru",35.65,"deciduous",310.492,231.12601,32.9,0.856969248,850.122826043032,0.646546015647927,0.783291710216544,0.136745694568616
"158",161505,"querru",38.43,"deciduous",313.6112525,223.539995,36.8,3.455349583,1063.61760879936,0.845040512619587,0.937267293819345,0.0922267811997577
"159",170652,"querru",19.69,"deciduous",328.81299,52.9237,17,0.152851875,226.980069221863,0.133436353648678,0.189560787908728,0.0561244342600498
"160",170844,"querru",31.65,"deciduous",327.02802,70.2396,28,0.565389861,615.752160103599,0.439753129214746,0.589378678837925,0.149625549623179
"161",171037,"querru",27.86,"deciduous",332.16699,80.885,26.1,0.471094022,535.021082887976,0.371768043723256,0.434516328740103,0.0627482850168471
"162",171399,"querru",20.07,"deciduous",336.065,198.552,18.7,0.196601968,274.645883758454,0.167572474655585,0.198421836000339,0.0308493613447543
"163",171424,"querru",32.97,"deciduous",326.30899,204.22099,31.1,0.741580882,759.644957619646,0.565195341194665,0.649838633943939,0.084643292749274
"164",171452,"querru",38.23,"deciduous",324.6355,213.859005,35.6,1.078553043,995.38221636339,0.780668648906336,0.925651514138903,0.144982865232567
"165",180147,"querru",13.72,"deciduous",358.517,8.17858,13.3,0.079752921,138.929081123375,0.074217558850102,0.0799424713174965,0.00572491246739451
"166",180190,"querru",14.46,"deciduous",345.905,25.525,12.9,0.073541829,130.698108370969,0.0689938930623134,0.090636570377342,0.0216426773150286
"167",180701,"querru",25.01,"deciduous",348.76501,115.148,22.9,0.334852237,411.870650867256,0.271961887340696,0.335732177201457,0.0637702898607606
"168",180841,"querru",29.14,"deciduous",348.43799,140.237,27.3,0.529459931,585.349397198484,0.413932922770462,0.483761455170044,0.0698285323995815
"169",190135,"querru",23.61,"deciduous",361.78601,26.8332,21.2,0.273536902,352.989350557349,0.226174662652768,0.292550370677767,0.0663757080249993
"170",190155,"querru",23.6,"deciduous",363.828,35.1643,22.8,0.331037525,408.28138126053,0.269132117220255,0.292254314101168,0.0231221968809134
"171",190236,"querru",29.01,"deciduous",369.76901,51.9629,28.4,0.586551251,633.470742669846,0.454916905554474,0.478619419221763,0.0237025136672896
"172",190354,"querru",25.12,"deciduous",365.03601,94.4127,24.6,0.403770748,475.2915525616,0.322727630670717,0.339272119100975,0.016544488430258
"173",190508,"querru",25.68,"deciduous",379.85501,126.233,24.8,0.412390427,483.051286415967,0.329033987613884,0.357629503665129,0.0285955160512454
"174",190524,"querru",62.37,"deciduous",363.758,142.8,58.5,3.625060972,2687.82886468692,2.55860805938231,2.98190135179253,0.423293292410223
"175",200016,"querru",24.73,"deciduous",387.60501,7.37149,24.1,0.38269625,456.167107282872,0.307271284101118,0.326818687627328,0.0195474035262096
"176",200112,"querru",32.73,"deciduous",389.394,35.11675,29.3,1.150343188,674.256469295075,0.490134029583,0.638590121850173,0.148456092267173
"177",200263,"querru",44.78,"deciduous",397.41699,66.6142,42.7,1.662107338,1432.00861734093,1.2056572579762,1.35080362332969,0.145146365353483
"178",200446,"querru",30.73,"deciduous",380.65201,142.71899,29.1,0.624695399,665.083018746593,0.482175886121136,0.549257205045061,0.0670813189239254
"179",200565,"querru",18.13,"deciduous",397.4635,173.049,17.3,0.31773913,235.061816323222,0.139133410244503,0.155622359399504,0.0164889491550007
"180",210025,"querru",37.79,"deciduous",404.13599,11.6222,36.2,1.094225745,1029.21716924255,0.812483831388423,0.900392803698444,0.0879089723100214
"181",210070,"querru",50.33,"deciduous",402.022,20.3446,46.6,2.068800113,1705.53923570736,1.48574262954859,1.78594305504072,0.300200425492135
"182",210107,"querru",23.05,"deciduous",416.79501,29.5445,22.7,0.327249075,404.707819617071,0.266319546304677,0.276238855278907,0.00991930897422999
"183",220165,"querru",21.39,"deciduous",430.315,48.1895,21,0.266810837,346.360590058275,0.221108459108208,0.231049492394698,0.00994103328648979
"184",220195,"querru",35.84,"deciduous",424.41699,61.0861,34.2,0.946422087,918.633107836191,0.709289673578086,0.793306049281092,0.0840163757030059
"185",220306,"querru",42.29,"deciduous",432.998,89.92165,39.8,2.646549281,1244.10210674809,1.01911169598005,1.17817366531938,0.159061969339322
"186",220323,"querru",28.59,"deciduous",427.9915,102.518,28.2,1.115496095,624.580035460187,0.44729764587343,0.462224620878958,0.0149269750055289
"187",230112,"querru",25.89,"deciduous",446.29401,47.9253,24.6,0.403770748,475.2915525616,0.322727630670717,0.364658922304394,0.0419312916336766
"188",230398,"querru",31,"deciduous",450.95801,115.444,29.6,0.652813679,688.134454842308,0.502213558088306,0.560861580997194,0.0586480229088885
"189",230560,"querru",46.62,"deciduous",447.625,147.638,43.7,1.761607824,1499.86701865847,1.27424188938757,1.48726708625467,0.213025196867096
"190",230563,"querru",43.51,"deciduous",447.54901,143.15199,41.6,1.556433496,1359.17864564909,1.13275060759575,1.26104084242674,0.128290234830996
"191",240404,"querru",32.44,"deciduous",463.57199,89.6491,29,0.619159218,660.519855417254,0.478225201235872,0.625150329534318,0.146925128298446
"192",240745,"querru",22.1,"deciduous",473.60001,146.577,21.1,0.270161211,349.667116326178,0.223633217272075,0.249803648817432,0.0261704315453572
"193",270084,"querru",72.27,"deciduous",534.53998,4.87429,69.3,5.455763428,3771.86682573461,3.83577985817423,4.24044070135363,0.404660843179394
